fdcId,portion,g_weight
168725,3 oz,85.05
168726,3 oz,85.05
168727,3 oz,85.05
168728,3 oz,85.05
168729,3 oz,85.05
168730,3 oz,85.05
168731,3 oz,85.05
168732,3 oz,85.05
168733,3 oz,85.05
168734,3 oz,85.05
168735,3 oz,85.05
168736,3 oz,85.05
168737,3 oz,85.05
168738,3 oz,85.05
168739,3 oz,85.05
168740,3 oz,85.05
168741,3 oz,85.05
168742,3 oz,85.05
168743,3 oz,85.05
168744,3 oz,85.05
168745,3 oz,85.05
169430,3 oz,85.05
169431,3 oz,85.05
169432,3 oz,85.05
169433,3 oz,85.05
169434,3 oz,85.05
169435,3 oz,85.05
169436,3 oz,85.05
169437,3 oz,85.05
169438,3 oz,85.05
169439,3 oz,85.05
169440,3 oz,85.05
169441,3 oz,85.05
169442,3 oz,85.05
169443,3 oz,85.05
169444,3 oz,85.05
169445,3 oz,85.05
169446,3 oz,85.05
169451,3 oz,85.05
169452,3 oz,85.05
169453,3 oz,85.05
169454,3 oz,85.05
169455,3 oz,85.05
169456,3 oz,85.05
169457,3 oz,85.05
169458,3 oz,85.05
169459,3 oz,85.05
169460,3 oz,85.05
169461,3 oz,85.05
169462,3 oz,85.05
169463,3 oz,85.05
169464,3 oz,85.05
169465,3 oz,85.05
169466,3 oz,85.05
169467,3 oz,85.05
169468,3 oz,85.05
169469,3 oz,85.05
169470,3 oz,85.05
169471,3 oz,85.05
169472,3 oz,85.05
169473,3 oz,85.05
169474,3 oz,85.05
169475,3 oz,85.05
169476,3 oz,85.05
169477,3 oz,85.05
169478,3 oz,85.05
169479,3 oz,85.05
169480,3 oz,85.05
169481,3 oz,85.05
169482,3 oz,85.05
169483,3 oz,85.05
169484,3 oz,85.05
169485,3 oz,85.05
169486,3 oz,85.05
169487,3 oz,85.05
169488,3 oz,85.05
169489,3 oz,85.05
169490,3 oz,85.05
169491,3 oz,85.05
169492,3 oz,85.05
169493,3 oz,85.05
169494,3 oz,85.05
169495,3 oz,85.05
169496,3 oz,85.05
169497,3 oz,85.05
169498,3 oz,85.05
169499,3 oz,85.05
169500,3 oz,85.05
169501,3 oz,85.05
169502,3 oz,85.05
169503,3 oz,85.05
169504,3 oz,85.05
169505,3 oz,85.05
169506,3 oz,85.05
169507,3 oz,85.05
169508,3 oz,85.05
169509,3 oz,85.05
169510,3 oz,85.05
169511,3 oz,85.05
169512,3 oz,85.05
169513,3 oz,85.05
169514,3 oz,85.05
169515,3 oz,85.05
169516,3 oz,85.05
169517,3 oz,85.05
169518,3 oz,85.05
169519,3 oz,85.05
169520,3 oz,85.05
169521,3 oz,85.05
169522,3 oz,85.05
169523,3 oz,85.05
169524,3 oz,85.05
169525,3 oz,85.05
169526,3 oz,85.05
169527,3 oz,85.05
169528,3 oz,85.05
169529,3 oz,85.05
169530,3 oz,85.05
169531,3 oz,85.05
169532,3 oz,85.05
169533,3 oz,85.05
169534,3 oz,85.05
169535,3 oz,85.05
169536,3 oz,85.05
169537,3 oz,85.05
169538,3 oz,85.05
169539,3 oz,85.05
169540,3 oz,85.05
169541,3 oz,85.05
169542,3 oz,85.05
169543,3 oz,85.05
169544,3 oz,85.05
169545,3 oz,85.05
169546,3 oz,85.05
169547,3 oz,85.05
169548,3 oz,85.05
169549,3 oz,85.05
169550,3 oz,85.05
169551,3 oz,85.05
169552,3 oz,85.05
169553,3 oz,85.05
169554,3 oz,85.05
169555,3 oz,85.05
169556,3 oz,85.05
169557,3 oz,85.05
169558,3 oz,85.05
169559,3 oz,85.05
169560,3 oz,85.05
169561,3 oz,85.05
169562,3 oz,85.05
169563,3 oz,85.05
169564,3 oz,85.05
169565,3 oz,85.05
169566,3 oz,85.05
169567,3 oz,85.05
169568,3 oz,85.05
169569,3 oz,85.05
169570,3 oz,85.05
169571,3 oz,85.05
170193,3 oz,85.05
170194,3 oz,85.05
170195,3 oz,85.05
170196,3 oz,85.05
170197,3 oz,85.05
170198,3 oz,85.05
170199,3 oz,85.05
170200,3 oz,85.05
170201,3 oz,85.05
170203,3 oz,85.05
170205,3 oz,85.05
170206,3 oz,85.05
170207,3 oz,85.05
170208,3 oz,85.05
170209,3 oz,85.05
170210,3 oz,85.05
170211,3 oz,85.05
170212,3 oz,85.05
170213,3 oz,85.05
170214,3 oz,85.05
170215,3 oz,85.05
170216,3 oz,85.05
170217,3 oz,85.05
170218,3 oz,85.05
170219,3 oz,85.05
170220,3 oz,85.05
170221,3 oz,85.05
170222,3 oz,85.05
170223,3 oz,85.05
170224,3 oz,85.05
170225,3 oz,85.05
170226,3 oz,85.05
170227,3 oz,85.05
170228,3 oz,85.05
170229,3 oz,85.05
170230,3 oz,85.05
170231,3 oz,85.05
170232,3 oz,85.05
170233,3 oz,85.05
170234,3 oz,85.05
170235,3 oz,85.05
170236,3 oz,85.05
170237,3 oz,85.05
170238,3 oz,85.05
170239,3 oz,85.05
170240,3 oz,85.05
170597,3 oz,85.05
170600,3 oz,85.05
170601,3 oz,85.05
170603,3 oz,85.05
170605,3 oz,85.05
170608,3 oz,85.05
170609,3 oz,85.05
170610,3 oz,85.05
170611,3 oz,85.05
170612,3 oz,85.05
170613,3 oz,85.05
170614,3 oz,85.05
170615,3 oz,85.05
170616,3 oz,85.05
170617,3 oz,85.05
170618,3 oz,85.05
170619,3 oz,85.05
170620,3 oz,85.05
170621,3 oz,85.05
170622,3 oz,85.05
170623,3 oz,85.05
170624,3 oz,85.05
170625,3 oz,85.05
170626,3 oz,85.05
170627,3 oz,85.05
170628,3 oz,85.05
170629,3 oz,85.05
170630,3 oz,85.05
170631,3 oz,85.05
170632,3 oz,85.05
170633,3 oz,85.05
170634,3 oz,85.05
170635,3 oz,85.05
170636,3 oz,85.05
170637,3 oz,85.05
170638,3 oz,85.05
170639,3 oz,85.05
170640,3 oz,85.05
170641,3 oz,85.05
170642,3 oz,85.05
170643,3 oz,85.05
170783,3 oz,85.05
170796,3 oz,85.05
170797,3 oz,85.05
170798,3 oz,85.05
170799,3 oz,85.05
170800,3 oz,85.05
170801,3 oz,85.05
170802,3 oz,85.05
170803,3 oz,85.05
170804,3 oz,85.05
170805,3 oz,85.05
170806,3 oz,85.05
170807,3 oz,85.05
170808,3 oz,85.05
170809,3 oz,85.05
170810,3 oz,85.05
170811,3 oz,85.05
170812,3 oz,85.05
170813,3 oz,85.05
170814,3 oz,85.05
170815,3 oz,85.05
170816,3 oz,85.05
170817,3 oz,85.05
170818,3 oz,85.05
170819,3 oz,85.05
170820,3 oz,85.05
170821,3 oz,85.05
170822,3 oz,85.05
170823,3 oz,85.05
170824,3 oz,85.05
170825,3 oz,85.05
170826,3 oz,85.05
170827,3 oz,85.05
170828,3 oz,85.05
170829,3 oz,85.05
170830,3 oz,85.05
170831,3 oz,85.05
170832,3 oz,85.05
170833,3 oz,85.05
170834,3 oz,85.05
170835,3 oz,85.05
170836,3 oz,85.05
170837,3 oz,85.05
170838,3 oz,85.05
170839,3 oz,85.05
170840,3 oz,85.05
170841,3 oz,85.05
170842,3 oz,85.05
171193,3 oz,85.05
171194,3 oz,85.05
171195,3 oz,85.05
171196,3 oz,85.05
171197,3 oz,85.05
171198,3 oz,85.05
171199,3 oz,85.05
171200,3 oz,85.05
171201,3 oz,85.05
171202,3 oz,85.05
171203,3 oz,85.05
171204,3 oz,85.05
171205,3 oz,85.05
171206,3 oz,85.05
171207,3 oz,85.05
171208,3 oz,85.05
171209,3 oz,85.05
171210,3 oz,85.05
171211,3 oz,85.05
171212,3 oz,85.05
171213,3 oz,85.05
171214,3 oz,85.05
171215,3 oz,85.05
171216,3 oz,85.05
171217,3 oz,85.05
171218,3 oz,85.05
171219,3 oz,85.05
171220,3 oz,85.05
171221,3 oz,85.05
171222,3 oz,85.05
171223,3 oz,85.05
171224,3 oz,85.05
171225,3 oz,85.05
171226,3 oz,85.05
171227,3 oz,85.05
171228,3 oz,85.05
171229,3 oz,85.05
171230,3 oz,85.05
171231,3 oz,85.05
171232,3 oz,85.05
171233,3 oz,85.05
171234,3 oz,85.05
171235,3 oz,85.05
171236,3 oz,85.05
171237,3 oz,85.05
171238,3 oz,85.05
171239,3 oz,85.05
171732,3 oz,85.05
171733,3 oz,85.05
171734,3 oz,85.05
171735,3 oz,85.05
171736,3 oz,85.05
171737,3 oz,85.05
171738,3 oz,85.05
171739,3 oz,85.05
171740,3 oz,85.05
171741,3 oz,85.05
171742,3 oz,85.05
171743,3 oz,85.05
171744,3 oz,85.05
171745,3 oz,85.05
171746,3 oz,85.05
171747,3 oz,85.05
171748,3 oz,85.05
171749,3 oz,85.05
171750,3 oz,85.05
171751,3 oz,85.05
171752,3 oz,85.05
171753,3 oz,85.05
171754,3 oz,85.05
171755,3 oz,85.05
171756,3 oz,85.05
171757,3 oz,85.05
171758,3 oz,85.05
171759,3 oz,85.05
171760,3 oz,85.05
171761,3 oz,85.05
171762,3 oz,85.05
171763,3 oz,85.05
171764,3 oz,85.05
171765,3 oz,85.05
171766,3 oz,85.05
171767,3 oz,85.05
171768,3 oz,85.05
171769,3 oz,85.05
171770,3 oz,85.05
171771,3 oz,85.05
171772,3 oz,85.05
171773,3 oz,85.05
171774,3 oz,85.05
171775,3 oz,85.05
171776,3 oz,85.05
171777,3 oz,85.05
171778,3 oz,85.05
171779,3 oz,85.05
171780,3 oz,85.05
171781,3 oz,85.05
171782,3 oz,85.05
171783,3 oz,85.05
171784,3 oz,85.05
171785,3 oz,85.05
171786,3 oz,85.05
171787,3 oz,85.05
171788,3 oz,85.05
171789,3 oz,85.05
171790,3 oz,85.05
171791,3 oz,85.05
171792,3 oz,85.05
171793,3 oz,85.05
171794,3 oz,85.05
171795,3 oz,85.05
171796,3 oz,85.05
171797,3 oz,85.05
171798,3 oz,85.05
171799,3 oz,85.05
171800,3 oz,85.05
171801,3 oz,85.05
171802,3 oz,85.05
171803,3 oz,85.05
171804,3 oz,85.05
171805,3 oz,85.05
171806,3 oz,85.05
171807,3 oz,85.05
171808,3 oz,85.05
171809,3 oz,85.05
171810,3 oz,85.05
171811,3 oz,85.05
171812,3 oz,85.05
171813,3 oz,85.05
171814,3 oz,85.05
171815,3 oz,85.05
171816,3 oz,85.05
171817,3 oz,85.05
171818,3 oz,85.05
171819,3 oz,85.05
171820,3 oz,85.05
172115,3 oz,85.05
172116,3 oz,85.05
172117,3 oz,85.05
172118,3 oz,85.05
172119,3 oz,85.05
172120,3 oz,85.05
172121,3 oz,85.05
172122,3 oz,85.05
172123,3 oz,85.05
172124,3 oz,85.05
